-0.899204916460509+1.00579492167792i,-0.0427116018917991+0.491584462760785i,0.485384437319427-0.617866688725145i,-0.242016078564361-0.00307289629557119i,0.499749015444146-0.0917361018368572i,0.6068348064476-0.243161320926158i,1.6309933906335-0.866814993783788i,-0.439678354023181+1.11122273888131i
0.192758059245589-0.220511945029673i,-0.570468175104099+1.16504694658923i,0.37565351246122+0.0487058233258243i,0.461193264568382-0.313031553430776i,1.08916870976626-0.672833852182161i,-0.576346469330427+0.251105220730056i,-1.20275519197982-0.374783943229627i,-0.00812269549644842-0.800125752943249i
0.224484104335166+0.645608740603661i,1.21115922450746+0.208483603456627i,0.513668558816958-0.300606728920614i,0.244478548288888+0.355507686023048i,-0.0155150869855183+1.03793356845483i,-0.111124089232224-0.437427112079586i,0.592203941047943-2.64612219814014i,-0.416993977211547+0.244177170637675i
1.05950636862245-0.791189058129051i,0.644993355623309+0.498498091838812i,0.490911615316156-0.0907659316244624i,-0.243729588928058+0.357197650848638i,0.745829181280052+0.649820814763306i,-0.403919745314774-1.31447627261983i,0.298704881580789+0.295138211257755i,0.0486175180034255+0.370090976000398i
-1.09870307603511+0.170295551222215i,1.05277006725012-0.814198376934101i,0.278671221308441+1.36637691974304i,0.0217689513434714+1.43197682640156i,-0.492682180946774-0.609946316746654i,0.071283898877844-0.404420071684817i,-0.595776720095538+0.879283387491525i,1.13846813633303+0.738194030164406i
-0.250522009099956+0.794379652650966i,-0.0189137268483534+1.31484018539346i,0.446625709703327-0.383151181218317i,-0.0942911728005444-0.920089231334341i,0.112643093118789+0.760105512705535i,0.421736104698646+1.00266139989775i,0.679994862734618+0.0781945632887137i,-0.132253272920722+0.890861957284938i
0.307045296202474-0.458353958644988i,1.35469230768608+1.6768744322368i,-0.501411815484895+0.626158121175921i,-0.442675253941722-0.496410635250157i,-0.124783229271511+0.785168715746957i,0.503604107082372-0.250736471890371i,-0.628175776225584-0.231283107171761i,-0.51672633201875-0.781974898497021i
-0.0717557963690929+0.061780676835076i,0.650309919867348-0.269633935271394i,0.0207512225889136+0.0267772057037073i,0.785906572291872-0.86510738028478i,1.1527673427743-0.547130459011717i,0.0959129052288996+0.722578280959011i,-1.33095152474637+0.956642011006181i,0.973996106471229+0.0433973681274494i
1.43455559991216+1.15589274046175i,-1.27851884242024-0.491284491427955i,0.389175243781624+0.0222594345626895i,0.850059913991705-0.403138849758765i,0.207863883396583+0.381756476879711i,-0.669565527683201+0.42555074904568i,-0.794303130358516-0.302459850544282i,0.617352456330835+0.870231851004676i
-0.25965800933636-0.554729764507394i,-0.894707761320754+0.707184748890992i,-0.512993687593629-1.34534856275968i,0.0511817017867085-0.357367533195272i,0.542855185773496-0.262152949720017i,-0.598868328425334-0.42232007997821i,0.408823218824922-0.40967867654967i,-0.371515071364683+0.385447959533677i
-1.67144122421326-0.785163714949317i,0.412689165930631-0.802763501912259i,0.000540492703651166+0.721795764275249i,-0.726020170304195-0.312136622969107i,-0.241255363196228+0.884449930465432i,0.206689262592901+1.35294662946957i,0.290133143073378+0.654758521778208i,-0.521136175163742+0.98993248967778i
